Name,2014,2015,2016,2017
ASTRA AGRO LESTARI - RETURN ON ASSETS,15.52,3.51,9.66,8.82
ASTRA AGRO LESTARI - TOTAL DEBT % COMMON EQUITY,38.77,68.52,23.93,21.97
ASTRA AGRO LESTARI - PRICE TO BOOK VAL,3.79,3.82,1.58,1.58
ASPIRASI HIDUP - RETURN ON ASSETS,20.97,19.43,20.85,19.59
ASPIRASI HIDUP - TOTAL DEBT % COMMON EQUITY,1.13,0.88,0.17,0.59
ASPIRASI HIDUP - PRICE TO BOOK VAL,6.2,4.48,4.86,4.71
ALAMTRI RESOURCES - RETURN ON ASSETS,4.22,3.09,5.74,7.64
ALAMTRI RESOURCES - TOTAL DEBT % COMMON EQUITY,67.98,54.69,46.07,40.17
ALAMTRI RESOURCES - PRICE TO BOOK VAL,1.21,0.72,0.51,1
AKR CORPORINDO - RETURN ON ASSETS,6.3,7.58,6.98,7.62
AKR CORPORINDO - TOTAL DEBT % COMMON EQUITY,76.55,63.78,59.2,41.98
AKR CORPORINDO - PRICE TO BOOK VAL,3.18,3.71,3.6,3.38
ASTRA INTERNATIONAL - RETURN ON ASSETS,9.13,6.54,6.63,7.46
ASTRA INTERNATIONAL - TOTAL DEBT % COMMON EQUITY,73.29,69.23,63.34,60.64
ASTRA INTERNATIONAL - PRICE TO BOOK VAL,3.18,3.11,2.3,2.86
ANEKA TAMBANG TBK PT - RETURN ON ASSETS,-3.02,-4.67,0.94,1.82
ANEKA TAMBANG TBK PT - TOTAL DEBT % COMMON EQUITY,67.19,55.2,53.8,50.83
ANEKA TAMBANG TBK PT - PRICE TO BOOK VAL,0.96,0.89,0.86,0.91
BARITO PACIFIC - RETURN ON ASSETS,1.04,-0.05,6.5,5.15
BARITO PACIFIC - TOTAL DEBT % COMMON EQUITY,97.72,84.58,63.8,85.23
BARITO PACIFIC - PRICE TO BOOK VAL,0.24,0.18,0.28,1.53
BANK CENTRAL ASIA - RETURN ON ASSETS,3.23,3.22,3.32,3.34
BANK CENTRAL ASIA - TOTAL DEBT % COMMON EQUITY,12.02,9.8,9.03,7.24
