No,ISIN CODE,Year,NET CASH FLOW - FINANCING,INCREASE/DECREASE IN CASH/SHOR,NET CASH FLOW - INVESTING,NET CASH FLOW-OPERATING ACTIVS,"PROPERTY, PLANT & EQUIP - NET",CASH DIVIDENDS PAID - TOTAL,CASH & SHORT TERM INVESTMENTS,CASH,TOTAL DEBT,TOTAL CAPITAL,MARKET VALUE,TOTAL SHAREHOLDERS EQUITY,WORKING CAPITAL,TOTAL ASSETS,RETAINED EARNINGS,EARNINGS BEF INTEREST & TAXES,TOTAL LIABILITIES,NET SALES OR REVENUES,FREE CASH FLOW,CASH - GENERIC,BOOK VALUE PER SHARE,OPERATING INCOME,DEPRECIATION,AMORT & IMPAIR OF GOODWILL,AMORTIZATION OF DEFERRED CHARG,AMORTIZATION-INTANGIBLE ASSETS,AMORTIZATION OF INTANGIBLES,DEPRECIATION/DEPLETION/AMORT,SALARIES & BENEFITS EXPENSES,Salaries and Wages from CSR reporting,RESEARCH & DEVELOPMENT
1,ID1000066004,2014,541352000,-97909000,3586952000,2929580000,14852284000,943165000,611181000,611181000,4426933000,13965244000,36101020,11419406000,-1707340000,18354372000,10548430000,3786070000,6516886000,16305831000,3389825000,611181000,6909.685,3722360000,716761000,,0,,,716761000,550000000,,6043000
1,ID1000066004,2015,1885624000,-316740000,3119463000,913345000,16509560000,743196000,294441000,294441000,7732824000,17406751000,31534260,11284816000,-708010000,21207642000,10413840000,1301022000,9508855000,13059216000,2101142000,294441000,6828.247,1853153000,867938000,,0,,,867938000,552790000,,9460000
1,ID1000066004,2016,264617000,237142000,2395413000,2363669000,17380094000,190527000,531583000,317149000,4101024000,19709293000,28870320,17135284000,108577000,23204507000,12293945000,2353651000,5611025000,14121374000,1176794000,531583000,8902.888,2658608000,1003357000,,0,,,1003357000,568650000,,9148000
1,ID1000066004,2017,-1276975000,-269291000,1753504000,2757179000,17866054000,996896000,262292000,252292000,3969334000,21905772000,27956100,18065943000,1936313000,23941380000,13224604000,3032848000,5404942000,17305688000,2722603000,262292000,9386.425,753697000,1189060000,,0,,,1189060000,628240000,,10456000
1,ID1000066004,2018,-384903000,-213210000,1678767000,1820806000,18285233000,835247000,49082000,49082000,4731303000,23080825000,21748980,18989629000,1424098000,26018027000,14148290000,2421280000,6543505000,19084387000,2145237000,49082000,9866.34,2325906000,1219849000,,0,,,1219849000,629399000,,7887000
1,ID1000066004,2019,669817000,334284000,1307383000,956630000,18202559000,431091000,383366000,260446000,5685466000,24513993000,23673660,18521153000,2905246000,26149093000,13679814000,999189000,7170566000,17452736000,946683000,383366000,9622.936,960308000,1409870000,,0,,,1409870000,598334000,,11713000
1,ID1000066004,2020,-347970000,595526000,999198000,1902189000,17741481000,175130000,978892000,107246000,5623933000,24871727000,20979090,18752493000,4145384000,27058211000,13911154000,1855430000,7810417000,18807043000,2654756000,978892000,9743.132,1842157000,1336899000,,0,,,1336899000,578534000,,11443000
1,ID1000066004,2021,-492860000,2917130000,1186688000,4496577000,17781227000,490745000,3896022000,131675000,5696405000,23303117000,20930980,20619192000,3453812000,29773473000,15777853000,3287230000,8602300000,24322048000,3482590000,3896022000,10713.003,3429658000,1282462000,,0,,,1282462000,618479000,,14448000
1,ID1000066004,2022,-2588570000,-2276406000,1142218000,1417816000,17996321000,854474000,1619616000,1619616000,4053767000,26291988000,16696670,21684037000,5337669000,28698067000,16886844000,2777558000,6454846000,21828591000,2109296000,1619616000,11266.259,2360413000,1276179000,,0,,,1276179000,610456000,,14832000
1,ID1000066004,2023,-773899000,469892000,1020975000,2268919000,18105649000,771721000,2089508000,2089508000,4005052000,24255760000,13520940,22016045000,3236061000,28365210000,17185798000,1753833000,5799204000,20745473000,2034803000,2089508000,11438.758,1251215000,1326603000,,0,,,1326603000,625038000,,21319000
1,ID1000066004,2024,,,,,,,,,,,12799180,,,,,,,,3992832000,,,,,,,,,,,,
2,ID1000125503,2014,-110947957,229693440,96527946,435162019,463020871,102242958,397496961,391452438,26709233,2362703801,13462720,2356959802,1744454742,2888198978,1851956645,685656343,526050733,4541473969,237162591,397496961,137.82,649944691,86538584,,0,,,86538584,693197689,,
2,ID1000125503,2015,-293931714,230393977,123586348,648831005,457127129,272647888,623460345,621846415,23052961,2628825516,11576230,2628045330,2055106000,3192880895,2142508515,739671956,564055378,4742525934,330120199,623460345,153.966,687043564,82058582,,0,,7880404,89938986,708441046,,
2,ID1000125503,2016,-281283570,82088635,127422154,491972036,588764731,262862463,707091682,703935050,5339715,3048727695,14920470,3053621910,2433416722,3637730285,2568085095,865070106,589002590,4935902893,744298418,707091682,178.899,717009565,65268111,,0,,6194489,71462600,784224815,,
