no,year,icbcode,gap,gap_e,gap_s,es,e,s,esdis,edis,sdis,family,gov,instit,g,size,lev,roa,mtb,country,capitalism,legal,kz,boardSize,CSRcmte,CEOdual,freeFloatShareholding,insiderShareholding,country_name,industry_name,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,industry_1010,industry_1510,industry_2010,industry_3010,industry_3020,industry_3030,industry_3510,industry_4010,industry_4020,industry_4030,industry_4040,industry_4050,industry_4510,industry_4520,industry_5010,industry_5020,industry_5510,industry_5520,industry_6010,industry_6510,g_family,g_gov,propensity_score,_weight
1.0,2015,4510,-0.17,-0.16,-0.19,30.7,28.77,32.63,13.27,12.89640592,13.63361548,1.0,0.0,0.0,11.67,10.33,0.6852,0.0351,0.0382,2.0,1.0,1.0,0.41096,5.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67,0.0,0.4059875539136918,1
1.0,2016,4510,-0.25,-0.19,-0.3,39.15,32.26,46.03,14.44,12.89640592,15.99153567,1.0,0.0,0.0,13.0,10.37,0.2393,0.0966,0.0158,2.0,1.0,1.0,0.32037,5.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.42859488054194117,1
1.0,2017,4510,-0.24,-0.19,-0.3,39.85,34.13,45.56,15.43,14.85955905,15.99153567,1.0,0.0,0.0,10.61,10.38,0.2197,0.0882,0.0158,2.0,1.0,1.0,-1.14464,6.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61,0.0,0.4097635053535138,1
1.0,2018,4510,-0.23,-0.15,-0.31,38.35,29.67,47.02,15.43,14.85955905,15.99153567,1.0,0.0,0.0,10.64,10.42,0.2492,0.0635,0.0139,2.0,1.0,1.0,-0.69292,5.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,0.41299368492848404,1
1.0,2019,4510,-0.21,-0.08,-0.33,46.15,42.44,49.85,25.24,34.09845968,16.38452237,1.0,0.0,0.0,11.9,10.42,0.307,0.0129,0.0128,2.0,1.0,1.0,0.25756,7.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.3730923466598507,1
1.0,2020,4510,-0.14,-0.03,-0.24,44.23,42.49,45.96,30.38,39.23286016,21.5235792,1.0,0.0,0.0,15.09,10.43,0.2999,0.0403,0.0066,2.0,1.0,1.0,0.56912,7.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.09,0.0,0.38197173022528413,1
1.0,2021,4510,-0.18,-0.13,-0.22,50.27,53.88,46.65,32.48,40.65237088,24.30471584,1.0,0.0,0.0,26.3,10.47,0.2763,0.0787,0.0095,2.0,1.0,1.0,0.01323,6.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.3958300536949118,1
1.0,2022,4510,-0.1,-0.03,-0.17,50.96,54.89,47.02,40.67,51.58562368,29.74607013,1.0,0.0,0.0,19.57,10.46,0.1869,0.0678,0.0113,2.0,1.0,1.0,-0.69305,4.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.57,0.0,0.41868030920493027,1
1.0,2023,4510,-0.08,-0.03,-0.13,51.76,57.07,46.44,43.78,53.63938387,33.91777509,1.0,0.0,0.0,28.94,10.45,0.1819,0.0435,0.0072,2.0,1.0,1.0,-0.66149,4.0,1.0,0.0,0.2,0.0,Indonesia,"Food, Beverage and Tobacco",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.94,0.0,0.40329349023177535,1
2.0,2015,4040,0.05,0.0,0.1,0.0,0.0,0.0,4.9,0,9.794437727,1.0,0.0,0.0,0.0,9.5,0.0088,0.1943,0.0448,2.0,1.0,1.0,-4.11073,0.0,0.0,0.0,0.4,0.000127164,Indonesia,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265164765652069,1
