Variable,Model 1,Model 2,Model 3
Family,0.0071*,-0.0019,0.0162***
,(1.75),(-0.37),(3.72)
Gov,0.0167***,0.0120,0.0213***
,(2.63),(1.52),(3.12)
G,-0.0034***,-0.0028***,-0.0040***
,(-42.26),(-27.93),(-46.31)
Size,-0.0188***,-0.0144***,-0.0232***
,(-10.07),(-6.21),(-11.53)
Lev,0.0002,-0.0000,0.0004
,(0.30),(-0.03),(0.61)
ROA,0.0322,0.0485,0.0164
,(1.12),(1.36),(0.53)
MTB,-0.0525,-0.0359,-0.0712
,(-1.28),(-0.70),(-1.61)
KZ,0.0005,-0.0008,0.0018***
,(0.88),(-1.04),(2.80)
Board Size,-0.0078***,-0.0073***,-0.0083***
,(-15.95),(-11.97),(-15.85)
CEO Duality,-0.0019,-0.0014,-0.0019
,(-0.38),(-0.23),(-0.36)
CSR Committee,-0.0933***,-0.0774***,-0.1090***
,(-19.06),(-12.72),(-20.70)
Year,Y,Y,Y
,,,
Industry,Y,Y,Y
,,,
_cons,0.2681***,0.2741***,0.2610***
,(10.34),(8.49),(9.36)
adj. R-sq,0.427,0.310,0.447
