Variables,Mean,SD,Min,Median,Max
GAP,-0.149,0.216,-0.640,-0.180,0.730
GAP_E,-0.093,0.245,-0.800,-0.110,0.880
GAP_S,-0.204,0.237,-0.780,-0.230,0.730
Family,0.433,0.496,0.000,0.000,1.000
Gov,0.123,0.328,0.000,0.000,1.000
G,46.664,25.482,0.000,48.905,98.200
Size,8.648,1.087,5.070,8.640,11.650
Lev,0.940,3.912,-44.361,0.489,283.554
ROA,0.054,0.071,-1.445,0.044,1.210
MTB,0.022,0.053,-0.262,0.013,3.221
KZ,1.395,4.230,-8.569,0.614,20.984
Board Size,9.753,4.017,0.000,10.000,41.000
CEO Duality,0.166,0.372,0.000,0.000,1.000
CSR Committee,0.740,0.439,0.000,1.000,1.000
