Variable,First Stage,Model 1,Model 2,Model 3
Family,,0.0206***,0.0057,0.0357***
,,(2.78),(0.61),(4.52)
Gov,-0.6935***,0.0243***,0.0163*,0.0323***
,(-67.82),(3.32),(1.85),(4.03)
G,-0.0001,-0.0034***,-0.0028***,-0.0040***
,(-0.75),(-38.00),(-25.85),(-43.36)
Size,-0.0020,-0.0178***,-0.0146***,-0.0210***
,(-0.45),(-9.50),(-6.57),(-10.28)
Lev,-0.0008,0.0000,-0.0007,0.0007
,(-0.31),(0.07),(-1.32),(0.96)
ROA,0.0807,0.0208,0.0601**,-0.0174
,(1.07),(0.75),(1.98),(-0.49)
MTB,-0.5080**,-0.0527,-0.0242,-0.0830
,(-2.04),(-0.93),(-0.37),(-1.57)
KZ,0.0014**,0.0001,0.0001,0.0001
,(2.04),(0.78),(0.70),(0.57)
Board Size,-0.0024**,-0.0076***,-0.0072***,-0.0081***
,(-2.21),(-15.39),(-11.64),(-15.54)
CEO Duality,0.0489***,-0.0031,-0.0020,-0.0038
,(4.10),(-0.62),(-0.33),(-0.69)
CSR Committee,-0.0130,-0.0926***,-0.0769***,-0.1082***
,(-1.10),(-18.13),(-12.08),(-20.25)
Free float (IV1),-0.8534***,,,
,(-43.13),,,
Insider (IV2),1.0947***,,,
,(27.96),,,
Year,Y,Y,Y,Y
Industry,Y,Y,Y,Y
_cons,1.2552***,0.2504***,0.2687***,0.2313***
,(20.17),(9.37),(8.54),(7.85)
N,8300.0,8300,8300,8300
R-sq,0.438,0.429,0.313,0.448
