ISIN CODE,NAME,No,Country of Domicile
ID1000066004,ASTRA AGRO LESTARI ,1,INDONESIA
ID1000125503,ASPIRASI HIDUP ,2,INDONESIA
ID1000111305,ALAMTRI RESOURCES ,3,INDONESIA
ID1000106701,AKR CORPORINDO ,4,INDONESIA
ID1000122807,ASTRA INTERNATIONAL ,5,INDONESIA
ID1000106602,ANEKA TAMBANG TBK PT ,6,INDONESIA
ID1000085707,BARITO PACIFIC ,7,INDONESIA
ID1000109507,BANK CENTRAL ASIA ,8,INDONESIA
ID1000094204,BANK DANAMON INDO ,9,INDONESIA
ID1000095003,BANK MANDIRI ,10,INDONESIA
ID1000068703,BUMI RESOURCES ,11,INDONESIA
ID1000096605,BANK NEGARA ,12,INDONESIA
ID1000118201,BANK RAKYAT INDO ,13,INDONESIA
ID1000110802,BUMI SERPONG DAMAI ,14,INDONESIA
ID1000113707,BANK TABUNGAN` ,15,INDONESIA
ID1000105604,GLOBAL ME ,16,INDONESIA
ID1000116700,INDOFOOD CBP SUKSES ,17,INDONESIA
ID1000106800,SEMEN INDONESIA ,18,INDONESIA
ID1000068604,GUDANG GARAM TBK ,19,INDONESIA
ID1000097405,INDOSAT TBK PT ,20,INDONESIA
ID1000109309,PT VALE IND ,21,INDONESIA
ID1000057003,INDOFOOD SUKSES ,22,INDONESIA
ID1000062201,INDAH KIAT PULP ,23,INDONESIA
ID1000074008,HANJAYA ,24,INDONESIA
ID1000061302,INDOCEMENT TUNG ,25,INDONESIA
ID1000108509,INDO TAMBANGRAYA ,26,INDONESIA
ID1000060403,PABRIK KERTAS TJIWI,27,INDONESIA
ID1000108103,JASA MARGA (PERSERO) ,28,INDONESIA
ID1000125107,KALBE FARMA TBK PT ,29,INDONESIA
ID1000113301,MATAHARI DEPARTMENT ,30,INDONESIA
ID1000106206,MEDIA NUSAN ,31,INDONESIA
ID1000111602,PERUSAHAAN GAS ,32,INDONESIA
ID1000122500,PAKUWON JATI ,33,INDONESIA
ID1000108905,LIPPO KARAWA ,34,INDONESIA
ID1000117708,CHAROEN POKPHAND ,35,INDONESIA
ID1000129000,TELKOM ,36,INDONESIA
ID1000125305,SURYA CITRA MEDIA ,37,INDONESIA
ID1000128804,SARANA MENARA ,38,INDONESIA
ID1000092406,SUMMARECON AGUNG ,39,INDONESIA
ID1000094006,BUKIT ASAM ,40,INDONESIA
ID1000116908,TOWER BERSAMA ,41,INDONESIA
