Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ASTRA AGRO LESTARI - Board Size,6,5,5,6,5,7,7,6,4,4,NA
ASTRA AGRO LESTARI - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ASTRA AGRO LESTARI - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
ASTRA AGRO LESTARI - FREE FLOAT NOSH,20,20,20,20,20,20,20,20,20,20,20
ASPIRASI HIDUP INDONESIA - Board Size,NA,NA,NA,NA,NA,4,3,4,6,5,NA
ASPIRASI HIDUP INDONESIA - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,NA
ASPIRASI HIDUP INDONESIA - CSR Sustainability Committee,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,Y   ,NA
ASPIRASI HIDUP INDONESIA - FREE FLOAT NOSH,40,40,34,32,28,40,40,40,40,40,40
ALAMTRI RESOURCES - Board Size,7,7,7,6,5,5,5,5,5,5,NA
ALAMTRI RESOURCES - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ALAMTRI RESOURCES - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
ALAMTRI RESOURCES - FREE FLOAT NOSH,50,50,50,50,50,50,50,50,50,50,50
AKR CORPORINDO - Board Size,NA,3,3,3,3,3,3,3,3,3,NA
AKR CORPORINDO - Current CEO Chairman Duality,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
AKR CORPORINDO - CSR Sustainability Committee,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
AKR CORPORINDO - FREE FLOAT NOSH,41,33,35,34,42,36,40,40,40,40,39
