Variable,Model 1,Model 2,Model 3
Family,0.0072*,-0.0021,0.0166***
,(1.78),(-0.42),(3.82)
Gov,0.0168***,0.0119,0.0216***
,(2.65),(1.51),(3.16)
G,-0.0034***,-0.0028***,-0.0040***
,(-42.27),(-27.91),(-46.32)
Size,-0.0185***,-0.0150***,-0.0219***
,(-10.14),(-6.62),(-11.18)
Lev,0.0000,-0.0007,0.0007
,(0.03),(-0.44),(0.54)
ROA,0.0259,0.0631*,-0.0101
,(0.93),(1.81),(-0.33)
MTB,-0.0574,-0.0269,-0.0897**
,(-1.41),(-0.53),(-2.05)
KZ,0.0001,0.0001,0.0001
,(0.30),(0.26),(0.30)
Board Size,-0.0078***,-0.0073***,-0.0083***
,(-15.93),(-12.02),(-15.75)
CEO Duality,-0.0019,-0.0013,-0.0021
,(-0.39),(-0.22),(-0.39)
CSR Committee,-0.0934***,-0.0773***,-0.1093***
,(-19.08),(-12.70),(-20.75)
Year,Y,Y,Y
,,,
Industry,Y,Y,Y
,,,
_cons,0.2660***,0.2777***,0.2534***
,(10.31),(8.64),(9.12)
adj. R-sq,0.427,0.310,0.446
