Variable,First Stage,Model 1,Model 2,Model 3
Gov,,-0.1010***,-0.1036***,-0.0976***
,,(-5.07),(-4.25),(-4.66)
G,0.0005***,-0.0034***,-0.0028***,-0.0040***
,(3.46),(-37.67),(-25.62),(-42.94)
Size,-0.0357***,-0.0239***,-0.0194***,-0.0283***
,(-8.81),(-11.71),(-7.95),(-12.86)
Lev,0.0039***,0.0007*,0.0004,0.0011**
,(5.26),(1.92),(1.01),(2.44)
ROA,-0.0506,0.0300,0.0428,0.0176
,(-0.88),(0.97),(1.29),(0.47)
MTB,-0.3500***,-0.0995,-0.0594,-0.1406**
,(-3.76),(-1.57),(-0.93),(-2.13)
KZ,0.0001,0.0003,-0.0009,0.0016***
,(0.09),(0.63),(-1.43),(2.60)
Board Size,0.0033***,-0.0078***,-0.0072***,-0.0084***
,(3.57),(-15.74),(-11.65),(-16.33)
CEO Duality,-0.0414***,-0.0076,-0.0084,-0.0063
,(-6.04),(-1.47),(-1.34),(-1.13)
CSR Committee,0.0323***,-0.0894***,-0.0726***,-0.1062***
,(3.75),(-17.50),(-11.39),(-19.93)
Free float (IV1),-0.3727***,,,
,(-23.28),,,
Insider (IV2),-0.0046***,,,
,(-18.93),,,
Year,Y,Y,Y,Y
Industry,Y,Y,Y,Y
_cons,0.5747***,0.3118***,0.3102***,0.3123***
,(15.08),(11.91),(10.07),(10.94)
N,8370.0,8370,8370,8370
R-sq,0.221,0.403,0.291,0.428
