Variables,Mean,SD,Min,Median,Max
GAP,-0.148,0.216,-0.640,-0.180,0.730
GAP_E,-0.093,0.245,-0.800,-0.110,0.880
GAP_S,-0.204,0.237,-0.780,-0.230,0.730
Family,0.433,0.496,0.000,0.000,1.000
Gov,0.126,0.331,0.000,0.000,1.000
G,46.612,25.511,0.000,48.805,98.700
Size,8.635,1.093,5.070,8.630,11.650
Lev,0.941,3.902,-44.361,0.493,283.554
ROA,0.054,0.072,-1.445,0.044,1.210
MTB,0.023,0.056,-0.262,0.013,3.221
KZ,1.392,4.246,-8.871,0.617,21.044
Board Size,9.734,4.017,0.000,10.000,41.000
CEO Duality,0.165,0.371,0.000,0.000,1.000
CSR Committee,0.740,0.439,0.000,1.000,1.000
