number,country,year,ROA,ROE,EPS,debt/equity,營業中,破產&破產保護,全球影響力,金融危機,油價,政治,疫情,政府政策,同業競爭,內部制度,資金週轉不靈,管理決策不佳,勞資雙方不合,公會,管理層缺乏應變能力,飛安事故數量
1,1,2004,0.02,0.0487,0.51,0.41,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2005,-0.007,0.175,-0.17,0.4,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2006,0.0004,0.0009,0.01,0.39,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2007,-0.03,0.0814,-0.75,0.41,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2008,-0.052,-0.13,-1.19,0.51,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2009,0.0011,0.0026,0.03,0.42,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2010,0.0839,0.1611,1.91,0.44,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2011,0.059,0.0906,1.34,0.47,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2012,0.0073,0.0138,0.18,0.35,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2013,0.0071,0.018,0.24,1.81,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,2014,0.0131,0.037,0.55,2.11,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1
2,1,2004,0.0023,0.0106,0.07,3.28,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2005,-0.038,-0.192,-1.04,3.83,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2006,-0.0323,-0.126,-0.93,3.39,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2007,-0.57,0.192,-11.43,-8.45,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2008,-0.5878,0.782,-7.53,-2.1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2009,-1.126,0.45,-7.92,-1.24,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2010,-0.295,0.0563,-1.05,-1.17,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2011,-0.859,0.131,-8.51,-1.13,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2012,0.0021,-0.0003,0.01,-1.15,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2013,0.0221,-0.0034,0.13,-1.17,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
2,1,2014,0.12,-0.0187,0.69,-1.19,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
3,2,2004,-0.0831,0.2241,-15,-3.7,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0
3,2,2005,-1.0948,0.8256,-182,-1.75,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0
3,2,2006,0.001,0.0116,0.14,10.64,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0
3,2,2007,0.0166,0.1876,3.34,10.17,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0
