No,ISIN CODE,Year,BOOK VALUE-OUT SHARES-FISCAL,PRICE TO BOOK VAL,RETURN ON ASSETS,TOTAL DEBT % COMMON EQUITY,TOTAL DEBT % TOTAL CAPITAL/STD
1,ID1000066004,2018,9866.34,1.39,6.35,24.92,19.55
1,ID1000066004,2019,9622.936,1.28,1.29,30.7,23.05
1,ID1000066004,2020,9743.132,0.66,4.03,29.99,22.61
1,ID1000066004,2021,10713.003,0.95,7.87,27.63,21.2
1,ID1000066004,2022,11266.259,1.13,6.78,18.69,15.42
1,ID1000066004,2023,11438.758,0.72,4.35,18.19,15.07
1,ID1000066004,2024,11763.94,0.59,4.68,14.09,12.09
1,ID1000066004,2025,,0.47,,,
2,ID1000125503,2018,246.851,5.63,20.29,3.24,3.13
2,ID1000125503,2019,276.121,6.59,18.79,0.34,0.34
2,ID1000125503,2020,304.168,3.91,11.77,16.96,14.47
2,ID1000125503,2021,320.175,4.7,10.83,15.99,13.72
2,ID1000125503,2022,344.026,3.1,10.01,12.82,11.29
2,ID1000125503,2023,358.833,1.24,11.02,15.43,13.28
2,ID1000125503,2024,378.258,2.51,12.05,15.48,13.34
2,ID1000125503,2025,,1.3,,,
3,ID1000111305,2018,1642.087,1.3,6.71,39.21,24.96
3,ID1000111305,2019,1619.665,0.8,6.24,52.45,32.94
3,ID1000111305,2020,1629.964,0.64,3.23,40.63,27.62
3,ID1000111305,2021,1888.568,0.64,14.48,38.85,26.5
3,ID1000111305,2022,3028.504,1.04,27.77,26.27,19.51
3,ID1000111305,2023,3379.252,0.9,16.08,21.25,16.27
3,ID1000111305,2024,2623.166,1.03,16.87,11.77,9.74
3,ID1000111305,2025,,0.65,,,
4,ID1000106701,2018,417.023,2.79,9.44,50.53,29.88
4,ID1000106701,2019,415.288,2.35,3.93,55.3,31.41
4,ID1000106701,2020,443.446,0.89,4.97,47.03,28.05
4,ID1000106701,2021,473.478,1.36,5.55,32.72,21.3
4,ID1000106701,2022,555.746,1.66,9.75,27.5,18.65
4,ID1000106701,2023,570.63,2.8,9.95,41.1,24.79
4,ID1000106701,2024,585.361,2.96,7.29,45.99,26.66
4,ID1000106701,2025,,1.79,,,
5,ID1000122807,2018,3382.781,2.35,7.63,62.74,33.01
